window_start,reconstruction_mse,is_reconstruction_anomaly,split,return_temp_c_reconstruction_mse,is_return_temp_c_channel_anomaly,dominant_anomalous_feature
2024-08-03 18:45:00,0.0101956185,False,train,0.0101956185,False,return_temp_c
2024-08-04 06:45:00,0.015123225,False,train,0.015123225,False,return_temp_c
2024-08-04 18:45:00,0.014701561,False,train,0.014701561,False,return_temp_c
2024-08-05 06:45:00,0.019697884,False,train,0.019697884,False,return_temp_c
2024-08-05 18:45:00,0.017293839,False,train,0.017293839,False,return_temp_c
2024-08-06 06:45:00,0.021516351,False,train,0.021516351,False,return_temp_c
2024-08-06 18:45:00,0.02253311,False,train,0.02253311,False,return_temp_c
2024-08-07 06:45:00,0.013197803,False,train,0.013197803,False,return_temp_c
2024-08-07 18:45:00,0.014698506,False,train,0.014698506,False,return_temp_c
2024-08-09 06:45:00,0.027708685,False,train,0.027708685,False,return_temp_c
2024-08-09 18:45:00,0.01803089,False,train,0.01803089,False,return_temp_c
2024-08-10 06:45:00,0.014721692,False,train,0.014721692,False,return_temp_c
2024-08-10 18:45:00,0.008465995,False,train,0.008465995,False,return_temp_c
2024-08-11 06:45:00,0.014291994,False,train,0.014291994,False,return_temp_c
2024-08-11 18:45:00,0.012651261,False,train,0.012651261,False,return_temp_c
2024-08-12 06:45:00,0.014091183,False,train,0.014091183,False,return_temp_c
2024-08-12 18:45:00,0.033114318,False,train,0.033114318,False,return_temp_c
2024-08-13 06:45:00,0.025669819,False,train,0.025669819,False,return_temp_c
2024-08-13 18:45:00,0.0075350567,False,train,0.0075350567,False,return_temp_c
2024-08-14 06:45:00,0.013172946,False,train,0.013172946,False,return_temp_c
2024-08-14 18:45:00,0.011916083,False,train,0.011916083,False,return_temp_c
2024-08-15 06:45:00,0.014028054,False,train,0.014028054,False,return_temp_c
2024-08-15 18:45:00,0.01913143,False,train,0.01913143,False,return_temp_c
2024-08-16 06:45:00,0.018418424,False,train,0.018418424,False,return_temp_c
2024-08-16 18:45:00,0.014623049,False,train,0.014623049,False,return_temp_c
2024-08-17 06:45:00,0.03622611,False,train,0.03622611,False,return_temp_c
2024-08-17 18:45:00,0.024950758,False,train,0.024950758,False,return_temp_c
2024-08-18 06:45:00,0.025153467,False,train,0.025153467,False,return_temp_c
2024-08-18 18:45:00,0.01461189,False,train,0.01461189,False,return_temp_c
2024-08-19 06:45:00,0.0138536915,False,train,0.0138536915,False,return_temp_c
2024-08-19 18:45:00,0.0349839,False,train,0.0349839,False,return_temp_c
2024-08-20 06:45:00,0.042386774,False,train,0.042386774,False,return_temp_c
2024-08-20 18:45:00,0.012383518,False,train,0.012383518,False,return_temp_c
2024-08-21 06:45:00,0.010928947,False,train,0.010928947,False,return_temp_c
2024-08-21 18:45:00,0.023762273,False,train,0.023762273,False,return_temp_c
2024-08-22 06:45:00,0.011583716,False,train,0.011583716,False,return_temp_c
2024-08-22 18:45:00,0.019739801,False,train,0.019739801,False,return_temp_c
2024-08-23 06:45:00,0.011033166,False,train,0.011033166,False,return_temp_c
2024-08-23 18:45:00,0.024974858,False,train,0.024974858,False,return_temp_c
2024-08-24 06:45:00,0.013278888,False,train,0.013278888,False,return_temp_c
2024-08-24 18:45:00,0.023239652,False,train,0.023239652,False,return_temp_c
2024-08-25 06:45:00,0.013772883,False,train,0.013772883,False,return_temp_c
2024-08-25 18:45:00,0.018715115,False,train,0.018715115,False,return_temp_c
2024-08-26 06:45:00,0.017425606,False,train,0.017425606,False,return_temp_c
2024-08-26 18:45:00,0.023158418,False,train,0.023158418,False,return_temp_c
2024-08-27 06:45:00,0.014663492,False,train,0.014663492,False,return_temp_c
2024-08-27 18:45:00,0.011000228,False,train,0.011000228,False,return_temp_c
2024-08-28 06:45:00,0.02427836,False,train,0.02427836,False,return_temp_c
2024-08-28 18:45:00,0.012350109,False,train,0.012350109,False,return_temp_c
2024-08-29 06:45:00,0.02329681,False,train,0.02329681,False,return_temp_c
2024-08-29 18:45:00,0.012150876,False,train,0.012150876,False,return_temp_c
2024-08-30 06:45:00,0.031145526,False,train,0.031145526,False,return_temp_c
2024-08-30 18:45:00,0.03668895,False,train,0.03668895,False,return_temp_c
2024-08-31 06:45:00,0.030177766,False,train,0.030177766,False,return_temp_c
2024-08-31 18:45:00,0.012673575,False,train,0.012673575,False,return_temp_c
2024-09-01 06:45:00,0.021097235,False,train,0.021097235,False,return_temp_c
2024-09-01 18:45:00,0.015958084,False,train,0.015958084,False,return_temp_c
2024-09-02 06:45:00,0.007165274,False,train,0.007165274,False,return_temp_c
2024-09-02 18:45:00,0.027964065,False,train,0.027964065,False,return_temp_c
